,영화댓글
785,"비교적 만족하며 보고 왔습니다. 스포 없이 간단히 설명합니다. 1980~1990년대 홍콩 무협영화가 특수효과 중심이었던 것을 CG로 대체한 거라고 보시면 되구요. 스토리 전개는 마블 시리즈보다는 디즈니 애니메이션에 가깝습니다. 굳이 정의하라면 SF CG 홍콩 무협 정도??? 액션이나 스토리 자체는 홍콩스럽지만 전개과정이나 연출은 헐리우드식이어서 와호장룡 이후 오랜만에 홍콩(현재 중국 냄새 1도 없음)과 헐리우드의 결합이 시도된 작품이네요. 아쉬운 점들이 있지만 앞으로 더 나아질 거 같아 보이기도 합니다. CG는 리얼한 영화보다는 애니메이션에 가깝지만 수준 이하는 아닙니다. 남주와 여사친 비쥬얼은 아시안에 대한 헐리우드의 편견일 듯요. 양조위가 마치 ""궁예""나 ""미실""처럼 연기와 비쥬얼로 전체 스토리를 하드캐리하는 것도 맞지만 그렇다고 남주 등등의 배우가 엉망이거나 하지 않습니다. 양조위가 돋보일 뿐이지. 번역의 경우 중국어 -> 영어 -> 한국어 식으로 되면서 어색해진 부분이 종종 보이던데 중국어 직접 번역이었으면 한국인에게 더 잘 전달될 부분도 적지 않았던 거 같아요.(역시나 영어권 사람들은 한자문화권에 대한 이해도가 영...)"
786,이거볼바에야쉐이크볼란다이기야
787,엄마...미안해...나 60세가 좋아졌어...
788,진짜 진지하게 짱개라서 평점이 이따군게아니라 그냥 내용이 OO임 그래픽도 OO이고 처음엔 볼만하다가 갈수록 영화관에 앉아있기 힘든영화 핸드폰 시간을 자꾸 체크하게되는 영화
789,요새 짱꼴라 개극혐이라 그런지 영화도 별로. 네이버평점 첨으로 1점 줘보네ㅋㅋㅋㅋ꺼져라 짱꼴라 우우~
790,먼데 짱개영화ㅡㅡ 안본다
791,화려한 액션씬이 돋보이는 영화.하지만 스토리의 개연성은 살짝 아쉬운 영화.
792,"샹치 외에 해야 할 이야기(pc, 동양 편견, 블립등 이전이야기의 연결성)가 많음에도 밸런스있게 분배가 잘됨.  영화에 중국어나오는게 싫은게 아니라면  추천. 마블식 무협판타지영화를 볼 수 있음."
793,기대 안하고 봤는데 재밌어요. 보세요
794,지루한 부분은 있었지만 그래도 재밌었어요
795,이터널스랑 이어질거란걸 생각하고 보니까 더 재밌다ㅠㅠ
796,시간 가는줄 모르고 본 영화입니다~ 샹치 좋아요!!
797,역시 마블 쿠키가 대박ㅋㅋㅋ
798,아.. 마블도 중국을 소화시키기가 어렵구나.. 액션 그래픽 나쁘지 않았는데 말도 안되는 스토리 개연성은 억지를 넘어 떼법의 본국과 같다고 느껴졌다.
799,기대안하고 봤는데 블랙 위도우랑 샹치 둘다 본 사람으로써 샹치가 더 재밌음 ㅇㅇ
800,"정준하 매니저 최종훈 ,맥심 광고모델 안성기 마지막으로,마블. 삼박자의 환상적인 콤비"
801,주영훈아저씨 닮은 주인공 ㅋㅋㅋㅋ
802,마블이여서 봤지 아니였으면....너모 유치하고 지루한 서사에 솔직히 졸렸음...그냥 액션씬만 그나마 볼만하고 용이나 괴물나왔을 땐 이게 마블이 맞나...생각이 들었음;
803,재밌었다 근데현대판 중국영화같다마블은아닌느낌
804,마블의 탈을 쓴 짱깨 영화..갑자기 무슨 구미호에 용에 되도 않는 것들이 나와 당황;;디워인줄 주인공 친구역하는 사람도 너무 어색ㅠ
805,마블에 중국 묻으면 그러려니 하겠는데 중국에 마블을 묻혀서 티가 안나네요 마지막 장면 없었으면 그냥 판타지 중국 무협임 ㅋㅋ
806,"화려한 액션과 배우들의 수준높은 연기력, 그리고 역시 믿고 보는 마블의 스토리텔링까지!! 정말 너무 재밌게 잘 봤습니다"
807,남는건 양조위 형님의 잘생김과 애틋한 눈빛연기인데 그거 볼거면 그냥 일대종사를 보러가십쇼
808,영상미도 좋고 지루할 틈 없이 아이와함께 잘보았습니다. 저와 본 영화 중에 최고 재미있었다합니다.
809,중국 상영 금지에 배우들은 홍콩 민주화 운동 지지하는 사람들인데 자꾸 중국풍 묻었다고 하는 사람들은 대체 뭐하는 사람들이냐?ㅋㅋ 이러다가 동양무술 다 중국껄로 볼 사람들이네
810,이게 마블영화라고? 하아...
811,마블이 중국때문에 설마 했는데 역시나 중국뽕...내가본 마블씨리즈중 최악의 졸작....
812,별 반개가 없어서 1개 드립니다
813,
814,당최 도무지 이해가 안 가는 아빠. 목숨 바쳐 사랑한 아내... 자신보다 강했던 아내가 자신과 결혼하며 모든 힘을 반납해서 살해당했는데 딸내미 무술 교육을 안 시킨다고?페미니즘의 감성에 호소하기 위해 납득 가능한 설명 없이 상황만 소비한 연출.
815,좋다 라이언 레이놀즈-
816,"아 나 마블 모든 영화를 좋아하는데이건 진짜 마블이 아닌뒤,,,,0"
817,텐 링즈의 전설이라기 보다는 용의 전설.
818,영어쓰는 와호장룡 ㅋㅋ
819,생각보단 괜찮았음. CGV 김해율하점아 영화가 늦게 상영되면 안내라도 미리 하든가..8분이나 아무런 말도 없이 빈스크린만 보게 한건 누구 아이디어냐? 사과도 없어요 기술적인 문제같은 소리 처 하지말고 똑바로 운영해라
820,기대안했는데 재밌어요 블랙위도우보다 잼씀
821,블랙팬서와 쿵푸팬더의 잘못된 만남
822,마블 새로운 히어로 너무 좋음 ㅎ
823,완전 재밌다.. 무조건 보세요bb
824,마블스러운 영화를 기대하고 갔으면 실망.지금까지와는 다른 마블 영화를 기대하고 갔으면 대만족.
825,기대를 안하고 봐서 그런가 웃으면서 지루하지않게봄
826,
827,오랜만에 보는 마블 액션 잘 봤습니다. 새 어벤져스 기대됩니다
828,전 너무 재미 없었습니다마블 영화 믿고 보는건줄 알았는데 그렇지만도 않다는걸 알았습니다
829,역시 마블은 실망시키지 않음. 자꾸 중국중국 거리는데 이거 중국에서 상영금지 당한 영화임. 중국삘 전혀 못느꼈고 평소 마블답기만 했음. 갑자기 판타지 세계관으로 들어가버리는 스토리가 좀 읭?스럽긴 했지만 그래도 킬링타임용으로는 더할나위 없이 재밌음 특히 액션이 아주 볼만하고 남주 여주 둘다 매력쩔고  마블식 유머도 좋았음
830,주영훈과 그의 여동생이 주인공인줄..
831,너어어어어무 재미없었다... 영화보다가 졸뻔하고 중간중간에 속으로 욕하고 이게 마블인가 의심됨이유는1. 조주연들이 할리웃에서 아시아인을 쓴 영화다보니 외모가 노답이다 영화에 집중이 안된다2. 중국 무협 영화 특유의 싸움도중 느려지면서 서로 쳐다보는 씬이 욕이 나온다3. 기승전결 스토리가 너무 빈약하다 그냥 액션만 박아놓은 영화같다4. 샹치의 존재 이유나 여주의 필요성을 못느끼겠다 너무 백그라운드가 없다 걍존재할뿐총평은 중국 묻은 영화다
832,졸려축는줄 알았음 갑자기 영화가 킹콩으로 감?
833,"이래서 짱깨가 뭍은 영화는 안봄. 문재앙 뽑고, 미친 전라도 518폭동 신봉하는 애들은 돈주고 보러가라, 두번가라, 518번 가서 봐라. 글구, 여자조연 졸라못생김, 분명 애미 애비 둘중하나는 전라도나 짱깨우한출신일듯."
834,"이영화 결론 - 드래곤볼의 동양용, 사자탈 춤의 사자 , 닌자 등은 중국의 것입니다 ㅎㅎ 아 그리고 아시아계 중국 여자도 미국에 잘 녹아들어서  이렇게 미국인같은 익살스러운 연기도 가능해요. 우리한테 강남스타일이라고 하지마요 웩 우린 다르니까"
835,킬링타임용으로 손색없네요. 캡마는 보다 졸았는데 이건 재미나게 봄. 양조위 보러 간건데 샹치도 매력있었음
836,극장에 5명 있는 이유를 알았음
837,진짜 심각하게 노잼이다..
838,마블도 중국놈 캐스팅? 안본다
839,"중국자본들어간 영화고 뭐고 중뽕 다 배제하고 보더라도 인물의 감정과 관계에 일관성이 없고, 전개에 개연성도 없습니다.극중 텐 링즈, 탈로 마을 수호자 집단, 악마 군단, 주인공 무리, 아버지 등등 인물들 전투력 밸런스도 엉망입니다."
840,진짜 그냥 중국 c급 영화에 중국 뻔한 CG마블 영화 보다가 잔거 처음이네요
841,마블이라서... 5점 준다...그거말고는.. 동네 형님 닮은 샹치의개연성 없는 액션씬만 보고옴
842,
843,극 전체를 이끌어가는 양조위 (일회성 캐릭터라 너무 아쉬움)마블의 인물 소개 영화다 보니 스토리는 평이하고 교과서적이지만 비틀림이 있어요.양조위 마지막 씬에서 잠시 눈물이 날것 같은 기분도 느끼고.제목을 양조위와 텐링즈의 전설로 했으면 더 어울릴거 같아요.
844,차이나 뽕?을 빼지 않더라도 7점대는 테러라고 볼 수 있겠습니다. 굳이 중국에서 배척받은 중국배우들 써서 중국상영 금지된 영화를 무조건 까내리는 것은 아닌 것 같네요. 8.3 정도 되는데 평점조절로 10점갑니다. 마블 시즌2 보실분들은 거쳐야할 영화니깐요. 양자경 누이는 아직도 그레이스 하네요. 믿고보는 월트 디즈니 컴퍼니 작품입니다.
845,남녀 주인공 비주얼이 최하 수준에 스토리는 엉터리 가득. 그냥 중국스런 영화 별로
846,정말 엄청난 기대 이하의 영화 스토리.... 기대를 했던 저로서 중국혐오가 발생이 되네요..마블팬으로서 보긴했지만 수준낮은 주연배우의 연기력정말로서 노 이해 입니다.감독 연출도 그냥 중국영화 스타일이고돈으로 마블을 움직인게 보일정도입니다..솔직히 돈주고 본 영화중에 최악입니다.
847,하...내가 왜 중국 무술이 나오면 안보는지.... 이건 나올거 같았지만 그래도 마블이니깐 .... 뭔가 다르겠지 했는데 하 미안하다 마블
848,나름 재밌는데 왜?성룡식 액션 좋았음
849,홍콩 무협영화 한편 본거 같다.   출시된 마블영화를 거의다 본 마블팬으로서 마블영화라 볼수없다.
850,마블영화도 몰락하는구나
851,재밌던데 ㅋㅋㅋ 액션화려하고ㅋ블래위도우나 캡틴아메리카의 체술+무언가(스포ㅋ)가 더해져서 화려한 액션이 기대되는 히어로다
852,"나는 재밌게 봤는데.. 그냥 사람들 중국어쓰고, 생긴게 중국인이다! 이러면서 까고싶어서 까는거 아님?억지스러운 면도 있는데 그냥저냥 볼만하던데영상미랑 연출이랑 그래픽 미쳤는데 이거랑 디워랑 비교하는것도 약간 웃기긴함 ㅋㅋㅋ"
853,너무재밌다.. 오늘이3번째관람
854,역시 짱깨 영화는 마블 영화라고 해서 달라지는건 없지 짱깨 영화는 짱깨 영화지 그리고 주인공이 시진핑이랑 똑같이 생겼엌ㅋ
855,기대 안하고 봤다가 코믹하고 동양의 신비로움이 잘 전달 됐네요~~동서양과 과거와현재 잘 섞어 놨어요 ㅎㅎ 블랙 위도우보다 낫네요
856,배경이 중국이라 처음에 좀 거부감이 들었는데 보고나니 너무 잼있습니다.속편이랑 앞으로 어벤져스 멤버들이랑 케미도 기대되요 ㅎ
857,오랜만에 잘잤다 덕분에 꿀잠
858,양조위 눈빛은 최고였음. 영화자체는 후반으로 갈수록 참.... 용들싸움이 너무 디워같았고 마블느낌이 안나서 실망했음. 그래도 샹치와 웬우가 텐링즈 싸우는건 볼만했다.
859,기대안하고보면 재밌음 ㅋ
860,역시 마블이 마블했네요 새로운 마블 캐릭터라 즐거웠어요
861,일단 쏴봐야 돼 뭔갈 맞히려면
862,동양풍과 마블이 잘 섞인데다 액션도 새로워서 재밌었습니다~!
863,중국무술이 가미된 마블판 액션
864,"양조위의 텐링즈액션이 압권,,,"
865,"초중반은 괜찮았다고 생각하는데, 마지막엔... 디워2를 마블이 만들 줄이야..."
866,"""지나가던 사람이 그러더군요! 오! 아쿠아맨! 드래곤워리어! 옷가게주인!"",""아니야 멍청아, 난 DC도, 쿵푸팬더도 아니며 쿵푸허슬은 더더욱 아니야, 마블이라고!"" 웃으라고^^ 이게 마블식 유머다!뿜!샨티샨티 카레카레야 아 완전 좋아 레알 좋아"
867,"영상미는 멋졌으나, 등장인물간의 감정선들이 공감이안가고 막무가내느낌임"
868,기존의 어벤져스 느낌보다는 그냥 중국무협판타지 영화에 가까움. 그리고 전반적인 스토리도 샹치의 탄생이 주가 아닌 그냥 양조위의 러브스토리임. 양조위의 동안 탓도 있겠지만 시무 리우랑 부자 관계라기보단 형제로 보였음. 아콰피나는 그냥 시트콤 연기만 함. 전체적으로 미스 캐스팅으로 보이고 이런 대작에 출연할 아시아 배우가 이렇게 없었나 아쉬웠음. 끝.
869,정말 눈을 씻고 싶다. 마블의 배신이다. 이건차라리 소림축구나 쿵푸허슬이 훨씬 낫구나...휴... 아무리 돈에 눈이 멀어도 그렇지. 마블이 정체성을 버리다니 정말 실망이다.
870,잘 만든 중국영화라는 느낌이 들었어요
871,간만에 너무 재밌게 본 영화
872,후반이 너무  아쉽다 ㅠㅠ 무협지느낌
873,블랙위도우는 재미라도 있었지 ㅋ
874,한편의 중국무협영화 보고나온듯한...Made in China~~쿠키영상만 마블코믹스 입니다...
875,0점은못주나요? 최악의 마블영화입니다
876,너무 신선하고 신나고 재미있었다 약간의 비급감성 좋았다
877,핵 재밌게 봤어요~ 역시 믿고보는 마블 !
878,솔직히 스토리는 닌자어쌔신+디워 아님?
879,보는내내 시간 아까웠어요 시작하고 15분은 중국어만 나오고 영화가 스토리 연개도없고 뭘 말하려한지도 모르겠어요
880,양조위형은 레전드ㅋㅜㅜ
881,뉴욕 타임스퀘어 나이키 매장에 들어가 50만원짜리 조던을 질렀는데 그 안에 적혀있는 made in china …지금 내 기분이 딱 그래
882,기존 마블과는 약간달라서 호불호가 있을 수 있지만 전체적으로 동양적인 포인트들로 새로우면서 재밌게 본 것 같다.
883,영화자체는 마블 영화중 최하위지만 새로운 어벤져스 군단의 합류가 기대 된다
884,양조위와 MCU에 대한 의리를 빼면 그냥 고만고만한 CG범벅 영화...
885,와…….. 이걸… 잘잤다
886,마블영화라 재밌긴합니다 ! 꼭 보세요
887,그만 샹 치워라....
888,소림축구와 디워를 믹스한...  상표 마블 중국영호ㅏ
889,양조위..나쁜데 처연해..사연이 있어..
890,재밌기만 하던데. 중국은 일단 까고 보는 게 맞긴 함
891,나름 재밌게는 봤지만 마블영화보러갔는데 마블영화가 아니라서...걍 중국무협판타지...풍운이 생각남...
892,마블판 그레이트월…이거 만들필요 없어보이는데 …중국 자본 끌어들이기용 무협 끼워넣기
893,일단 영상미 미침동양무술 재현핵 재미있음힐링
894,영화는 솔직히 재밌는데 여자주인공 너무 못생겨서 몰입 방해됨....  이거 인종차별 아님 ???
895,마블이라는 브랜드 없이 그냥 무협액션영화로 봐도 충분히 즐길 수 있음.
896,갑자기 용이 나와서 타고 다닐 땐 스스로를 합리화하기에 바빴음. 마블 영화라 기대 잔뜩하고 봤는데 기대치만큼 그리 재미있진 않아서 좀 아쉬운 느낌. 중국 느낌은 어쩔 수 없고 스토리도 사상 대립과정 땜메 어쩔 수 없었을 것 같기도 하지만 이게 최선이었을까 하고 아쉬움이 많이 남는 영화.. 이터널즈 땐 이렇게 아쉬운 느낌이 남질 않았으면 함.  뭐 그래도 아예 못 볼 정도의 망작은 아니었음. 그럭저럭 평타에서 좀 벗어났달까
897,졸라재밌기만하구만 그리고 중국싫어하면더더욱봐야됨 여기배우들은홍콩지지자들이니깐 모르면가만히있어라 빡대갈들아 참고로양조위개멋있음
898,액션이 레전드임 .. 꼭 보시길 바래요
899,중국인이 주연이고 스토리가 중국문화라 한국에 모지란 ㅂx들이 평점테러 하는데 무시하고 가서 보셈 후회안함 재밌음 특히 초반에 아콰피나 ㅈㄴ웃김
900,걍 cg많이쓴 중국영화 본느낌
901,영화 초반까지는 성룡 스타일 액션과 유머가 나쁘지 않았지만 후반부의 와호장룡 느낌의 무협 서사가 과했던 것 같음. 마블이라기보다는 디즈니 판타지 느낌이 더 나는 영화. 아쉬움.
902,역시 마블!! 앞으로가 정말 기대된다
903,이걸 또 해내네. 마블이 마블함
904,우리가 한때 사랑했던 80년대 쿵푸 영화와 마블의 만남 #양조위앓이다시시작#21세기힙한아메리칸느낌이합쳐진쿵푸#CG또한놀랍도록멋지다
905,전형적인 중국영화임.
906,악명높은 텐링즈 총인원 30명설
907,요건 예상치못했지 하고 보여주는 내용들은 진짜 예상 못한건데 사실 이건 개연성이 없던거임.  유아용 애니메이션 같은 개연성에 이걸 보러 영화관을 온 내 자신이 창피했음.  아시아 배경이라고 음악에서는 신선함은 전혀없고 누구나 예상할만한 현악기 뜯는소리 뻔하게나옴. 진짜 별로인데 바이럴을 아주 열심히 하는지 다들 꼴값떠는 얘기하고있어서 댓글 처음 달아봄
908,양조위는 안늙나요..간지..
909,ㅋㅋㅋ아버지는 왜저러는거냐 ㅇㅣ해할 수가 없다 ㄹㅇ
910,상치를 중국에는 샹치라고 부르는가보다!
911,중국무협에 마블조미료 첨가 무협물좋아하면 보세요 양조위좋아하면 2번보세요
912,오랫만에 재미있게 봤어요 시간이 긴편인데 안지루하고 눈 호강 하고왔어요...
913,흔한 중국무협영화 오글거림
914,사실 영화는 아직안봤는데(곧 볼 예정) 여기서 답답한 리뷰가 많아서 반박으로 올려봅니다. 샹치는 중국에서 상영금지가 된 영화입니다. 어떤 글에서 본 내용인데 아콰피나는 한국계 혼혈배우이며 양조위도 중국인이 아니고 공개적으로 홍콩지지를 하다 보이콧 당한 배우입니다. 양자경도 중국인이 아니고 중공과 유착관계인 미얀마 군부를 비판하며 민주화운동을 지지표명한 배우인데 무조건 영화에 중국이 나온다며 동북공정이라고 영화를 깎아내리는 건 잘못되었다고 생각해요. 곧 영화를 보러 갈 생각인데 기대되네요.
915,마블 스타일과 홍콩영화를 적절히 섞은 훌륭한 액션
916,오랜만에 등장한 신선한 마블 히어로!동양적인 분위기가 개인적으로 정말 좋았다.
917,양조위는 역시 멋있고 액션도 시원시원하니스트레스 풀림 !! 양조위가 다했…
918,"마블에서 제작한,그냥 중국산 SF영화."
919,이터널즈랑 노웨이홈 남아있어서 참는다근데 감상포인트가 없는데 왜 억지로 체크하라는거야
920,오랜만에 영화보다졸았음
921,안보면후회합니다 영화 잘 안보는데 친구가 보자해서 봤는데 감동
922,"영화보기전, 양조위가 너무 멋있다는 리뷰 및 한줄평들을 엄청많이 보고가서 '얼마나 멋있나보자..'하며 심술난상태로 봤지만, 진짜로 ㅈ나 멋있다.첫영화는 아이언맨빼고는 다 그럭저럭 볼만한 평작 전통을 이어간다."
923,재밌게 봤습니다. 마블 페이즈4 기대됩니다.
924,"2류 스토리전개방식, 초등학생 수준의 캐릭터 설정, 못생기고 뚱뚱한 여자칭구.... 마블 아니었으면 욕 먹고 그저 짜장냄새나는 영화가 됐을 듯"
925,"중국인 주인공이라 그런지 중국영화의 느낌이 많이 나긴 하더군요절도있는 무술을 상대하는 부드러운 무술....용이 나오고 대사는 중국어 진행 등등그래도 페이즈4 이해를 위해 봤으며, 양조위의 연기는 역시나 멋지더군요."
926,이걸 돈주고봤다...친구들이랑 안본영화가 이거뿐이여서 보긴했지만/그때의 내 선택을 후회한다.내가알던 마블은망했고 중국자본에 먹힌 짱개영화 공장으로 몰락했다.진짜 역대마블영화중 제일 보기싫은 영화였다.
927,"훌륭한 중국무협영화, 실망스러운 마블영화"
928,그럭저럭 재미있었음
929,나는좋았는데.... 양조위의 아버지연기...
930,마블영화가 아니라 그냥 중국영화 같았습니다.처맞고 물에 빠지더니 갑자기 각성하고는 용타고 다니는것도  . . .주인공의 표정연기도 제대로 안되는거 같았고 . . 이번편은 실망이 크네요...
931,"이 시대 최고의 영화!당신의 기억 속에 묻혀져 있던 심형래 감독의 명작 'D-War'의 향수를 불러 일으키는 ""라떼는 말이야!""같은 영화!당신의 2시간 30분, 당신의 14,000원을 버리고 싶다면 당장 극장으로 가 샹치를 만나보세요!두통과 함께 탄식을 자아낼 수 있습니다!P.S 환상적인 리얼 액션씬! 환장적인 리얼 가족 스토리! 탄식을 자아내는 빌런!마이클 베이 성님의 트랜스포머 5 같은 진한 망작의 향기를 느낄 수 있습니다!지금 당장 극장에서 '샹치와 텐링즈의 전설'을 만나보세요!"
932,영화보다가 잠자기는 정말 오랜만입니다...마블영화라고 기대하고 가지마세요....중국액션답게 주먹질 좀 하다가 끝납니다....초능력??이랄것도 그닥....활...봉....칼....주먹...
933,크리쳐들 때문에 호불호가 좀 더 갈리는 것 같은데  대형 운송기기들로 치환해보면 이상할거 없다. 그리고 양조위의 눈빛과 연기는 이번에도 완벽했고 샹치와 샤링의 액션도 완벽했다. 양조위가 출연한 이상 웬우가 더 나올 수도 있었는데 샹치 빌드업에 적절할 정도로 비율이 잘 조정된 것 같았음. 신비의  잘 구현돼서 너무 신기했음 모리스가 너무 귀여움 액션도 예전 마블 영화들보다 훠어어어어ㅓ열씬 발전함 진짜 멋있음
934,마블영화는 어느정도 재밌긴 하지만 이번편은 더 재밌더라...
935,마블에서 동양액션을 보여주면 이렇게 되는구나 싶어요
936,"기대를 너무 해서인지.. 많이 아쉬움.. 연출, 스토리, cg 등 만족스럽지 않았어요."
937,보는 내내 눈뽕은 미쳤음
938,액션 미쳤고 스토리도 괜찮던데평점 왜이러냐
939,마블은 배신한적이 없다
940,액션은 볼만했는데 내용의 부실함이 너무큼.. 설명이 많이 부족한느낌
941,절반은 수면실 절반은 지옥주
942,액션은 좋습니다. 다만 스토리가 조금 아쉽네요
943,Good6iiiio
944,개 노잼입니다 보1지마세요중간중간에 틈틈이 중국은 위대하다는걸 계속 주입시키고 동양에서는 중국빼고 다 미개하다라는걸 간접적으로 드러냄 별점에 마이너스는 없나...
945,오랜만에 양조위와 양자경의 무협영화를보고 왔네요. 무협영화를 좋아하는 분들에게는예상하지 못한 재미를 얻을 수 있습니다.
946,중국 중국 거리는데 본인들 수준 잘 보여주는거 같고요 정작 이 영화는 중국에서는 상영금지 당했고 주인공들도 홍콩독립지지한 배우들이라 중국활동금지당한 사람들이라는건 아시는지 ㅎㅎ 하여튼 영화 자체는 잘 만들었구요 편견에 찌든 이상한 평보고 이 영화를 극장에서 볼 기회를 안 놓치셨으면 합니다 참고로 양조위의 존재감이 대단합니다
947,This is chinese
948,"후기에 중국 묻어서 싫다는 사람 많던데, 샹치가 중국에서 상영금지된 이유나 알아보고 오시길. 기대만큼은 아니지만 재밌었습니다."
949,짧고 간결하게 말씀 드립니다.마블냄새 아주 살짝 나는 중국 무술영화..사실 앞으로 있을 마블의 연관성 때문에 봤지 영화 자체로만 보면 그냥 쏘쏘 에요
950,샘킴+강형욱 = 샘형욱 용이나 건져서 키워라;;
951,양조위만 보였고텐링즈의 설명도 부족했지만배우들의 연기는 볼만했으며중국의 슈퍼히어로 치고는 꽤 멋있는 장면이 있었다
952,시작부터 끝까지 중국임 아오 돈아까워
953,볼만 합니다. 그럭저럭 재미 있어요. 마블에서 동양계 캐릭터를 어떻게 다루는지도 흥미롭구요. 뻔한 오리엔탈리즘에서 약간은 벗어난 듯 합니다. 앞으로의 마블 세계관과 어떻게 조화를 이룰지 궁금하네요.
954,그냥 민폐국가의 영화임
955,"주연배우.. 볼수록 시진핑 주석 많이 닮았네요... 처음부터 중국 시장 노리고 만든 건 사실인 것 같습니다. 그런데, 중국에서는 상영금지라죠...! 최고로 연기 잘한건 양조위였습니다. 한국 나이로 60살인데... 대단합니다. 재미있게 봤는데, 어쨌든 마블스럽지 않은 느낌입니다."
956,세상에 ... 너무 유치해요
957,마블이 마블한 영화였음 난 너무재밌게 봄
958,마블 영화인데 느낌은 잘 만든 중국영화느낌 ㅜㅜ
959,쿠키 보러 샹치 보러갔다 왔음요
960,약간 인피니티 워 보는 느낌이였음.솔직히 다음이 더 기대 됨
961,중국에 대한 감정있는 사람들이 남긴 리뷰는 무시하셔도 됩니다싸움씬 가슴이 웅장해짐
962,와 진짜 너무재밌는데요?? 무슨 중국뽕 어쩌구 저쩌구 하시는데.. 블랙팬서는 아프리카문화 가득한데 불편해서 어케보셨는지! ^^ 한문화권을 마블식으로 새롭게 해석해서 보여주고 결과는 역시나 마블이었어요. 그리고 저는 시무리우에게 빠져버렸네요.. 그리고 왜 액션 얘기 아무도 없어요? 액션 ㄹㅇ 진짜 눈돌아감. 양조위도 존잘이고... 흠잡을데 딱히 없는데 억까 너무 심해보여요.. 그냥 대존잼인데 평점 너무 낮아서 깜짝놀라서 댓글쓰는중 (그리고 어차피 마블 팬이면 볼거자나요 ㅎㅎ)
963,
964,볼만합니다. 볼거리도 많고 눈이 즐거웠음. 다만 마블 느낌이 생각보다 덜 했음. 히어로나 빌런이 생각보다 인상적이진 않았네요
965,악역인줄만 알았던 웬우는 사실 누구보다 가족을 사랑했군요.. !! 샹치 추천합니다. ㅋ
966,야!!! 마블이라며... 너네 그럼 안된다 내가 속았다고 다른 사람들까지 속으라고 저렇게 평점 높게 주면 안되는 거씨야...내가 평점이 마이너스가 없어서 이거 밖에 못준게 아쉬울 따름이다... ㅋ
967,설명도 충분 하고 볼거리도 풍부 했습니다! 숨은 뜻이 있다고 중국이 어쩌고 했지만 생각보다 잘 녹아내려고 한 것 같았고 너무 재밌게 봤어요!!
968,마블 역대 가장 최악 ㅡㅡ;; 진짜 마블에 짜장 묻었다는 말이 딱 맞음..유치하고 재미도없고 그나마 양조위 없었으면 더 쓰레기 우엑 ㅡㅡ
969,액션도좋고 재밌었습니다
970,
971,차이나아웃!개노잼이다.영화에 중국이 들어가면 개노잼이된다.마블실수했네ㅋㅋ
972,액션이 장면이 너무 적어요 중간중간 억지 감동이 많아요추천하지 않아요
973,중국노리고 만들었는데 중국상영금지딱 중국영화수준...
974,새로운 느낌의 영화였다.
975,주인공이 꼭 시진핑 젊은 모습같네 뮬란 아빠도 글코 일부러 저런 배우들만 쓰는건가?
976,이상하다.. 나는 재밌게 봤는데..
977,괜춘추천합니다
978,최근에 본 마블 영화중에서 가장 재밌게 봤습니다. 블랙위도우보다 재밌음. 양조위 진짜 너무 매력적이고 가족 이야기를 정말 잘 풀었음. 반중감정으로 낮은 평점에 속지 말고 정말 꼭 봐야됨.
979,진짜 죤나 재밌음… 진짜 진심 역시 마블이 마블 했음…. 진짜 엄청 웅장…ㅠㅠㅠㅜ
980,떨어지는 개연성과 스토리를 화려하고 사실적인 CG로 도배를 하네요 아무리 CG가 화려해도 스토리가 별로니까 몰입이 잘 안됩니다!! IPTV로 뜨면 보세요 개비추
981,화려합니다 바탕이 중국인건 어쩔수없는 부분이고 그 바탕속 그리고 위 거부감없이 적절히 녹아있어서 새로운 유니버스의 스타트를 샹치가 잘 끊어줬다 생각합니다 그리고 마지막 쿠키는 꼭 보시는게..엔드게임과 스파이더맨 이후 첫 마블영화 사이의 공백을 잇는 영상....웅장이 가슴해집니다
982,오랜만에 재밌는 영화 보게되어서 좋았어요!
983,스토리개연성이 다소 부족하고 샹치 케릭터가 마블히어로 재질은 아님 시종일관 무뚝뚝한표정이라 영화가 어둡고 보는 재미가 반감되는 느낌 블랙위도우도 그랬지만 마블영화가 엔드게임 이 후론 재미가 없네요
984,마블영화보다 중국판타지액션이라 생각하고 보면 재미는 있음 ..스토리 전개도 약간 좀 당황스러운 부분도 있고 와 역시마블!!! 은 아닌거같아요
985,안봤는데 괜히 보기싫은 영화..
986,역대 마블 영화중 개인적으로 최악이었습니다드래곤볼 실사판으로 제목달고나왔어도 이질감 없을듯 2021년에 이런영화를 찍어낸다는게...
987,Highly recommended
988,마블 영화라는 느낌을 못 느꼈습니다. 새로운 영화 느낌입니다. 그리고 지루 할려고 할때마다 틈틈히 재미를 채워주네요
989,그냥 영화제목을..<태극권:수룡과 마룡>이상 이하도아닌영화;중국무술이 완전허구이며 마스터라는양반들이복싱입문한 중학생한테도 발리는 체조수준인걸 알기에 앞으로 나올 마블에선  7점이상을 못넘길겁니다..그냥 중국돈 먹고싶어서 만든영화;
990,윈터솔져에 버금가는 최고의 맨몸액션을 보여준 영화!
991,액션말곤 그닥인데 설정이 어색하기도하고그나마  볼만한액션이 크게없는듯
992,이제 마블도 중국묻는구나..하고 봤음나는 한국인이 아니다 라는 대사보고 불편
